Probability score,Ground Truth
0.9066966772079468,1
0.49531880021095276,1
0.7551485300064087,1
0.022848689928650856,0
0.7440469264984131,1
0.436700701713562,1
0.370928555727005,0
0.8495661020278931,1
0.011260147206485271,0
0.992512583732605,1
0.9211662411689758,1
0.7217355370521545,1
0.012372213415801525,0
0.6492536664009094,1
0.861224889755249,1
0.017441831529140472,0
0.8409829139709473,1
0.10550478845834732,0
0.8968057632446289,1
0.9193029403686523,1
0.812993049621582,1
0.21825522184371948,1
0.4911673665046692,1
0.014452110975980759,0
0.6980462074279785,1
0.14009720087051392,0
0.18918025493621826,0
0.34360140562057495,0
0.06130339950323105,0
0.17824922502040863,0
0.8184681534767151,1
0.04382431134581566,1
0.0038089645095169544,0
0.8826358318328857,1
0.8136860132217407,1
0.036081232130527496,0
0.6950982213020325,1
0.4254509210586548,1
0.4514022171497345,0
0.02658107504248619,0
0.014164194464683533,0
0.007894426584243774,0
0.28432828187942505,0
0.4892914295196533,1
0.8247493505477905,1
0.06360375881195068,1
0.05538720265030861,1
0.5866642594337463,1
0.055654577910900116,0
0.036419689655303955,0
0.9592759013175964,1
0.7725669145584106,1
0.8891875743865967,1
0.28363966941833496,0
0.11301680654287338,1
0.20414741337299347,0
0.15359672904014587,0
0.023692013695836067,0
0.05608518421649933,0
0.21094296872615814,0
0.026668190956115723,1
0.003437584498897195,0
0.8221518993377686,1
0.9282935261726379,1
0.006300127133727074,0
0.0040077571757137775,0
0.9976065158843994,1
0.9238196015357971,1
0.2983100116252899,1
0.33599013090133667,1
0.0877942219376564,0
0.041330963373184204,0
0.02624668926000595,0
0.022862356156110764,0
0.9928591251373291,1
0.2647227942943573,1
0.9967727065086365,1
0.7778360843658447,1
0.6678444147109985,1
0.2335468828678131,1
0.8027036786079407,1
0.9264870882034302,1
0.8374537825584412,1
0.33831095695495605,1
0.06331793963909149,1
0.8724113702774048,1
0.02163059078156948,1
0.9998517036437988,1
0.9299838542938232,1
0.7367876172065735,1
0.252566397190094,0
0.04513873532414436,1
0.8301369547843933,1
0.9177062511444092,1
0.22019997239112854,0
0.005025811959058046,0
0.9941680431365967,1
0.8980459570884705,1
0.7533838748931885,1
0.5976029634475708,1
0.7355318069458008,1
0.029622845351696014,0
0.2849332094192505,0
0.04760638624429703,0
0.6073272228240967,1
0.926463782787323,1
0.8911438584327698,1
0.4804699718952179,1
0.7782835364341736,1
0.8798158764839172,1
0.8597018718719482,1
0.949974775314331,1
0.44527140259742737,0
0.4584610164165497,0
0.5715900659561157,1
0.7833658456802368,1
0.9484269618988037,1
0.21981960535049438,1
0.7704858779907227,1
0.009635476395487785,0
0.9701843857765198,1
0.38345009088516235,1
0.9004044532775879,1
0.6751145124435425,1
0.15324008464813232,0
0.8529080152511597,1
0.26887741684913635,1
0.02300078794360161,0
0.8199760913848877,1
0.006128479726612568,1
0.01163017563521862,0
0.7620449066162109,1
0.43963000178337097,1
0.31117957830429077,1
0.12568248808383942,0
0.8636367321014404,1
0.35774651169776917,1
0.01673085242509842,0
0.1034441888332367,0
2.0694544218713418e-05,0
0.013987623155117035,0
0.07580676674842834,1
0.7573808431625366,0
0.5406891703605652,1
0.044000159949064255,0
0.7329727411270142,1
0.6483908295631409,1
0.1936752200126648,0
0.3204282820224762,1
0.013466451317071915,0
0.9468348026275635,1
0.04614207148551941,0
0.03853509575128555,0
0.6945786476135254,1
0.9624359607696533,1
0.031385231763124466,0
0.27886518836021423,0
0.5247117280960083,0
0.6476624608039856,1
0.94298255443573,0
0.08189398795366287,0
0.021336277946829796,0
0.013246497139334679,0
0.15989190340042114,0
0.9578969478607178,1
0.8579603433609009,1
0.2899912893772125,1
0.06455181539058685,1
0.022862816229462624,0
0.20638373494148254,0
0.735683262348175,1
0.06489287316799164,0
0.5142240524291992,1
0.8458181619644165,1
0.005169520620256662,1
0.022048354148864746,1
0.10869145393371582,0
0.5271475911140442,1
0.050616271793842316,1
0.2637259066104889,0
0.052068259567022324,0
0.9147448539733887,1
0.8697291612625122,1
0.07775600999593735,0
0.7236390113830566,0
0.5586931705474854,0
0.8079572319984436,1
0.8916451930999756,1
