label,pred
1,0.92281175
0,0.19412439
0,0.07760301
1,0.7533175
0,0.09225608
0,0.04447358
0,0.7594839
1,0.9721448
1,0.988509
0,0.6162639
0,0.19995818
1,0.9735189
1,0.90455383
1,0.90401536
1,0.99256456
0,0.044480275
0,0.37161762
1,0.9404478
1,0.20677125
0,0.06740729
1,0.65447974
1,0.78273755
0,0.03283021
1,0.69698817
0,0.09719727
0,0.8334176
1,0.9366554
0,0.03620013
0,0.0076753628
1,0.9669721
1,0.86060536
0,0.45823714
0,0.83578444
0,0.027574733
1,0.9808972
1,0.07603767
1,0.4090078
1,0.9154567
1,0.92143786
0,0.052606627
0,4.09279e-06
0,0.026662678
1,0.80415165
1,0.80602044
1,0.93418527
1,0.98885894
1,0.928831
0,0.16434075
0,0.013777181
0,0.66357356
1,0.9162921
0,0.060905647
0,0.8544549
0,0.27435547
0,0.49026257
0,0.12486682
0,0.92549324
1,0.62517565
0,0.23792909
1,0.9285931
1,0.97501254
1,0.9585767
1,0.9776642
1,0.98957986
1,0.70805985
1,0.6449471
1,0.8353516
1,0.14006601
1,0.89414936
0,0.022090297
1,0.64933974
1,0.9888237
0,0.003991933
0,0.9292751
1,0.6277244
0,0.923038
1,0.9998417
1,0.000117668395
1,0.9858612
0,0.10271163
1,0.95382094
0,0.010829814
0,0.028633405
1,0.98546535
0,0.1762608
1,0.9281977
1,0.087641895
0,0.005185269
0,0.002820917
0,0.0005547963
1,0.8815212
1,0.9203543
0,0.015522825
1,0.95942646
0,0.0016926007
1,0.99155504
0,0.36076874
0,0.089605644
1,0.99501246
1,0.9813922
1,0.8671559
1,0.00096720154
1,0.98511446
0,0.0034681796
0,0.0016556272
1,0.84109056
0,0.10728748
1,0.84435076
0,0.6860874
0,0.0023110602
1,0.9208966
1,0.9966505
1,0.35827562
0,0.69652104
1,0.956351
1,0.99672204
0,0.0006005733
1,0.9728544
0,0.08342456
0,0.50627196
1,0.90769583
0,0.5266521
0,0.42259693
1,0.97
1,0.6647477
1,0.9058114
1,0.14272645
0,0.21047586
0,0.91273284
1,0.67361104
1,0.040252298
0,0.4543706
0,0.01644233
0,0.043828066
1,0.9291775
1,0.9264161
1,0.8529457
0,0.7303845
0,0.7106006
0,0.38365117
0,0.44710648
1,0.95226693
0,0.45662448
0,0.16736753
1,0.8612239
0,0.15116148
1,0.95111585
1,0.5968424
0,0.40248427
0,0.887117
0,0.36002156
1,0.99191695
0,0.845801
0,0.0067676194
0,0.8253996
0,0.03788793
1,0.11470314
1,0.9295043
0,0.137675
0,0.35972238
0,0.3651058
0,0.21756907
1,0.9989052
0,0.12856366
0,0.60792327
0,0.24223632
0,0.13812824
0,0.14586423
0,0.8398505
0,0.012586484
1,0.9851275
1,0.85303104
1,0.0030260696
1,0.73114526
1,0.97259855
1,0.9850339
0,0.19585855
1,0.80721235
1,0.30983534
0,0.5989431
1,0.9569182
0,0.03505841
0,0.38090962
1,0.94571334
1,0.24503624
1,0.55759794
0,0.36969241
1,0.4541249
1,0.9346118
1,0.9439819
0,8.724184e-07
1,0.40941992
1,0.98197985
1,0.00022786901
0,0.0011937761
1,0.6567941
0,0.00019762623
1,0.51998025
0,0.113261566
0,0.1570659
1,0.9389983
1,0.9644284
0,0.028901435
0,0.042159468
0,0.32112172
0,0.31760922
0,0.038823158
1,0.9739536
1,0.2667477
1,0.77230835
0,0.54961795
0,0.02265964
1,0.9644527
1,0.9935103
1,0.850383
1,0.9393651
0,6.568e-07
1,0.0011260487
1,0.9521832
0,0.9114916
1,0.99740064
0,0.08411921
0,0.31013998
1,0.89129347
1,0.831994
0,0.051097948
1,0.98428714
0,0.031750076
1,0.8448961
0,0.40938643
0,0.010391487
1,0.24794242
1,0.9688602
1,0.9040011
1,0.9698185
0,0.8498834
1,0.90340793
0,0.24089463
1,0.46366984
1,0.5802593
0,0.8068616
0,0.8695125
0,0.0911629
1,0.53889495
1,0.8799711
0,0.2180596
0,0.23186696
0,0.9272172
0,0.95643586
0,0.34410578
0,0.39027935
1,0.8864465
1,0.93960494
0,0.312967
1,0.63622904
0,0.0004918721
0,0.89005953
1,0.2749736
1,0.7663436
1,0.8949596
0,0.027228963
1,0.83343184
1,0.4972551
0,0.8799399
1,0.9774343
0,0.26294285
1,0.895107
0,0.9863398
1,0.6880176
0,0.75531006
1,0.9276157
0,0.7788308
0,0.6838099
1,0.8241066
1,0.9266372
1,0.93250793
0,0.11265015
1,0.96740514
0,0.9494419
1,0.9709283
1,0.95900923
0,0.12584879
1,0.9949439
0,0.9439537
1,0.89776695
1,0.8053886
1,0.60608834
0,0.41091686
0,0.14531073
1,0.08294624
0,0.76302624
1,0.9872006
0,0.6221342
0,0.056586016
1,0.9817992
1,0.7110991
0,0.0059291124
1,0.9751163
1,0.9640306
1,0.8614948
1,0.7057216
0,0.024612688
0,0.04502241
1,0.83790076
0,0.91512185
1,0.95071507
0,0.03582498
0,0.119883776
0,0.16387358
0,0.5216745
1,0.86412907
0,0.024363969
0,0.3027147
0,0.21320307
1,0.4091651
0,0.4600486
0,0.27280334
0,0.024375094
0,0.14937924
0,0.38512033
0,0.87097216
1,0.9794763
0,0.9122818
0,0.16397853
1,0.93916094
1,0.9340678
1,0.5258018
1,0.18583463
1,0.4637791
0,0.087382264
0,0.09483374
1,0.96345025
1,0.93561447
1,0.5325864
0,0.0614037
0,0.5782441
1,0.9473089
1,0.75509864
1,0.9410864
1,0.9263542
1,0.9910651
1,0.95984876
1,0.999897
0,0.27524096
1,0.9859569
1,0.12995057
1,0.077255264
0,0.111067414
1,0.8275356
0,0.4387305
1,0.9701006
1,0.91532785
1,0.88285106
1,0.9515175
0,0.033002343
1,0.95174336
1,0.7883082
0,0.0017543723
0,0.39297545
1,0.4685165
1,0.19348127
0,0.17888813
1,0.7199801
0,0.12141737
1,0.987716
0,0.060231365
1,0.89578557
1,0.35681084
0,0.9377577
0,0.26794893
0,0.02490301
0,0.078159824
0,0.42317563
0,0.6110783
0,0.113084644
0,0.37026098
0,0.097714074
1,0.9871339
0,0.07739654
1,0.9485921
1,0.9332632
0,0.26236954
1,0.9024506
0,0.0026357986
0,0.16548441
1,0.89978796
1,0.990637
1,0.31263745
1,0.9720382
1,0.95813984
0,0.895257
1,0.9559384
0,0.024950095
0,0.08813367
1,0.96254957
0,0.27579233
0,0.63558257
0,0.0022719835
1,0.946953
0,0.98905367
1,0.8700774
0,0.0009083737
0,0.005042174
0,0.00037780678
0,0.11462064
0,0.94278014
0,0.0026416879
0,0.70253515
0,0.39109772
0,0.50850576
1,0.5990839
1,0.9438917
0,0.09049619
0,0.0788079
1,0.4209171
1,0.8306663
0,0.027300518
0,0.8723364
1,0.96983385
0,0.085513175
0,0.00016021014
1,0.8560066
0,0.84926105
