label,pred
1,0.93674016
0,0.6207118
0,0.53219396
0,0.4913473
0,0.09860337
0,0.6307287
1,0.9819826
0,0.5952023
1,0.9357124
1,0.27247697
1,0.9731434
0,0.6306981
0,0.5176017
1,0.8771028
0,0.6399778
1,0.8962449
1,0.9814326
0,0.4696954
1,0.9667243
1,0.9920603
1,0.3914845
1,0.43001515
1,0.8183782
0,0.3869416
0,0.39162767
0,0.21433598
0,0.7987286
0,0.3776915
0,0.8394709
0,0.5607984
1,0.4057722
0,0.70821536
0,0.52489936
1,0.47261196
1,0.9809132
1,0.7357911
0,0.60053486
1,0.8314853
1,0.9340424
0,0.13910586
1,0.9443349
1,0.9324029
1,0.9278211
1,0.91370696
0,0.33193892
1,0.78278196
1,0.7991911
0,0.71607506
1,0.8699586
1,0.9727962
0,0.44492525
0,0.5375761
1,0.9258685
0,0.60421383
1,0.8917749
1,0.86314386
0,0.35605955
1,0.48721933
0,0.31213117
0,0.7585101
1,0.9665292
1,0.7856009
1,0.87473124
1,0.5799254
1,0.57548237
0,0.3312527
0,0.6217147
0,0.69713175
1,0.44252712
0,0.46545058
0,0.67895633
0,0.40698534
1,0.82414067
1,0.90684086
0,0.84608364
1,0.89227927
1,0.9620598
0,0.96557075
1,0.8266249
0,0.55005133
1,0.76719403
0,0.23364055
1,0.6668402
0,0.83385086
0,0.3540815
1,0.9367394
1,0.9871393
0,0.8400588
0,0.3147437
0,0.5235926
1,0.8516254
0,0.047971666
1,0.9790877
0,0.69953597
0,0.36411953
0,0.07472408
0,0.6120453
0,0.7467928
1,0.45687687
0,0.260404
0,0.7483707
0,0.6493064
0,0.93374246
0,0.50193477
0,0.33776742
1,0.8123282
1,0.5818366
1,0.973938
0,0.77055734
1,0.32239658
0,0.38215768
1,0.84689677
1,0.992383
1,0.4413904
1,0.8867802
1,0.99558043
1,0.21854448
1,0.9295887
1,0.71213365
1,0.6605463
0,0.34641737
1,0.96908146
0,0.80153185
1,0.59671974
1,0.857656
0,0.19194335
1,0.78232586
0,0.47204804
1,0.88285303
1,0.90234613
1,0.9852337
1,0.9177809
1,0.765197
1,0.78798616
1,0.49934715
1,0.90184826
1,0.7660369
0,0.42949378
1,0.8997129
0,0.5608742
0,0.49535853
1,0.5258975
0,0.29685235
0,0.49789232
1,0.7322364
1,0.7611749
0,0.82524705
0,0.8135231
0,0.4536777
0,0.66034377
0,0.28654528
0,0.5541561
1,0.93999845
0,0.4620173
1,0.81638324
0,0.66146684
1,0.45174003
1,0.81537116
0,0.6377779
1,0.7849802
1,0.6986755
1,0.8664211
1,0.8847773
1,0.88799447
0,0.92205316
0,0.12489134
1,0.7927085
0,0.6464251
1,0.4327984
1,0.6837562
0,0.5760578
1,0.4467563
0,0.5802721
1,0.81764776
1,0.94849956
0,0.6278421
1,0.9244008
1,0.84974945
1,0.6512065
1,0.86117035
0,0.59969234
1,0.9490519
1,0.9482084
0,0.63138926
0,0.27481598
0,0.5293054
1,0.7307982
1,0.95606256
1,0.5967577
1,0.9927927
0,0.4975251
0,0.6923655
1,0.92402333
0,0.9635336
1,0.81653273
0,0.6021084
0,0.85307926
0,0.7280321
0,0.6229459
1,0.7745533
1,0.5569161
1,0.9581382
0,0.63874257
1,0.77139497
0,0.97363704
1,0.6698881
0,0.041645706
1,0.9086799
1,0.879475
0,0.71278703
0,0.6678667
1,0.9391636
0,0.5797914
1,0.79006475
1,0.7036888
0,0.1375159
0,0.4355278
0,0.27237707
0,0.75843257
1,0.99213666
0,0.4980166
0,0.30831754
1,0.80740845
1,0.99587893
1,0.83489823
0,0.54186213
0,0.1394183
1,0.94349176
1,0.9852056
1,0.8500609
0,0.04612547
1,0.6780602
0,0.9893907
1,0.7939279
1,0.81275046
0,0.027374685
1,0.9088877
1,0.9074306
0,0.74396497
1,0.9280643
0,0.3672433
1,0.5821527
1,0.35817468
1,0.9993177
0,0.003258407
1,0.98121697
0,0.9615334
0,0.31505334
1,0.59232736
1,0.84090495
1,0.7219021
1,0.86453736
0,0.49267805
0,0.5294384
1,0.7225046
1,0.9417816
0,0.5903291
1,0.8955443
1,0.6913805
1,0.76622766
0,0.7281631
0,0.7346816
1,0.7123532
0,0.5663197
1,0.88463247
1,0.98709923
0,0.62708986
0,0.6240821
1,0.94047135
1,0.99591273
1,0.9550663
1,0.93583715
0,0.8678112
1,0.7216922
1,0.8207521
0,0.761112
0,0.13594168
0,0.75329953
1,0.9299845
1,0.93374836
0,0.14910525
0,0.9430921
1,0.6060567
1,0.98569036
0,0.97932637
1,0.95393074
0,0.48309833
1,0.9590385
1,0.94225144
0,0.42057544
1,0.5847658
0,0.20003515
0,0.20650077
1,0.9401968
0,0.4488408
1,0.8878882
0,0.34087592
1,0.6077863
0,0.55084574
1,0.6681742
0,0.6082672
0,0.27954185
1,0.98942494
1,0.8715257
1,0.6206769
0,0.6730732
0,0.2046805
0,0.55927694
0,0.60580015
0,0.7740058
1,0.8468491
0,0.55863565
1,0.58747244
1,0.8014288
0,0.6176344
1,0.8055604
1,0.89239115
0,0.79809964
1,0.5960361
1,0.6617634
1,0.7678387
1,0.85520184
1,0.8326012
1,0.98102885
0,0.3208909
1,0.9937388
1,0.5767549
1,0.90059245
0,0.73596895
0,0.9535993
0,0.7627898
0,0.16854489
1,0.8768483
0,0.67913353
1,0.3971542
