label,pred
0,0.14631528
0,0.117899835
0,0.000264287
1,0.7560265
0,0.68881595
0,0.29603487
0,0.9452128
0,0.7876071
0,0.18348855
1,0.8602084
1,0.731546
1,0.17491418
1,0.9418591
0,0.37127918
1,0.643361
1,0.1981163
0,0.7830906
1,0.86552
1,0.49701357
1,0.2743892
0,0.9508762
0,0.00010126829
1,0.87173206
1,0.8322997
1,0.67923146
1,0.9729862
1,0.9361541
1,0.9851577
1,0.13510978
0,0.66676754
1,0.7948643
1,0.62849444
0,0.7118192
0,0.44761884
1,0.9306703
1,0.9273544
0,0.10728413
1,0.70525104
1,0.30239052
0,0.72855496
0,0.47278237
1,0.91423565
0,0.36628056
0,0.9017252
1,0.64815724
1,0.84214306
1,0.44039732
1,0.1406489
0,0.84322125
0,0.19860834
1,0.8294567
1,0.45005298
1,0.9963692
1,0.6206809
0,0.046445012
1,0.9986305
0,0.066920936
1,0.9984101
1,0.97177327
1,0.9802443
1,0.921515
1,0.93098414
1,0.8240223
1,0.80698967
1,0.38180304
0,0.48504
0,0.3320197
1,0.14044124
1,0.3816843
1,0.3377326
1,1.0
0,0.01589638
1,0.000169456
0,0.27794272
0,0.12188256
1,0.50426257
1,0.9721545
1,0.9815852
1,0.74486965
1,0.33455718
1,0.87614757
1,0.99919045
1,0.8631836
1,0.8506399
0,0.20257092
1,0.8457906
1,0.9628024
0,0.71786904
1,0.44479662
0,0.11392963
1,0.9242199
1,0.60711443
0,0.15403032
1,0.9649168
1,0.84085923
0,0.27044475
0,0.5692941
0,0.41977483
1,0.68078554
1,0.8570096
0,0.794766
1,0.8874846
1,0.5936506
1,0.8756441
0,0.59322596
1,0.961827
1,0.95539653
1,0.71185124
0,0.1349749
1,0.32145798
1,0.97854185
1,0.6190448
0,0.26573747
0,0.27117974
0,4.827976e-06
0,0.17382854
1,0.8436083
1,0.9959777
0,0.06428188
0,0.21695721
1,0.17639959
0,0.42545867
0,0.3630486
0,0.23096031
0,0.17088479
0,0.5601079
1,0.54878056
1,0.72253215
1,0.99624234
1,0.9927703
1,0.9191463
1,0.899016
0,0.36034065
1,0.9851982
0,0.23585993
1,0.8437601
0,0.19092858
0,0.68644154
1,0.40610957
0,0.34053487
1,0.9823327
1,0.970674
0,0.39274263
1,0.7596478
0,0.004835725
1,0.8301624
1,0.8072768
1,0.6831576
0,0.21673429
0,0.59083563
0,0.82961285
1,0.9673096
1,0.9406078
1,0.7994496
0,0.34411037
1,0.81273526
0,0.9686776
0,0.5213375
0,0.15697992
1,0.9559674
0,0.2775843
1,0.9792774
0,0.6989408
0,0.9224627
1,0.44722134
1,0.89538735
1,0.91367954
1,0.9755051
1,0.9366513
0,0.6422765
0,0.8269403
1,0.9613876
1,0.9109484
0,0.05716908
0,0.26431036
1,0.7672045
1,0.9991357
0,0.041897178
0,0.20571733
1,0.983512
1,0.7045144
0,0.38432634
0,0.07997435
1,0.64770275
1,0.4359637
0,0.2935748
0,0.5183821
1,0.8653872
1,0.42307907
0,0.4148172
1,0.13780957
1,0.99757785
1,0.95857984
1,0.9835595
1,0.7229253
1,0.9486547
0,0.17208344
0,0.2279557
0,0.2150259
0,0.23302466
1,0.9850579
0,0.40173626
1,0.9838158
0,0.5940051
1,0.79740804
1,0.9944482
1,0.9919331
0,0.08968997
0,0.45459086
1,0.9668733
0,0.41474712
1,0.095547676
1,0.88433576
0,0.45140058
0,0.45305377
1,0.9182805
0,0.9040911
0,0.061481416
1,0.3358928
1,0.9344982
1,0.93256545
0,0.29107302
0,0.56393814
1,0.0960955
0,0.4339512
0,0.80413115
0,0.6976468
0,0.70396316
1,0.97095263
0,0.991145
1,0.66584456
0,0.12678057
1,0.9991168
0,0.35677946
0,0.43845963
1,0.751772
1,0.51511765
1,0.50300467
1,0.6422162
0,0.41068465
0,0.352839
1,0.28821462
0,0.5891115
1,0.56941783
0,0.80991524
0,0.2958287
1,0.9815144
0,0.86759424
0,0.24540192
1,0.38441384
0,0.5917457
1,0.93064654
0,0.43816543
1,0.5286793
1,0.908076
1,0.99046856
0,0.17613328
0,0.102211
0,0.45201623
1,0.9066121
0,0.09792918
1,0.99227893
0,0.42875087
1,0.7170462
1,0.98267645
1,0.64282966
1,0.72446537
1,0.58668953
1,0.5226402
1,0.90141875
0,0.1300965
0,0.7245821
1,0.838127
1,0.5954734
0,0.07974559
0,1.3709068e-06
0,0.6710273
0,0.4571591
0,0.3335557
0,0.33589637
1,0.32385635
0,0.6555016
1,0.9904431
0,0.005316615
1,0.5992825
0,0.08922613
1,0.69972795
1,0.87930787
1,0.739536
0,0.019395709
0,0.49602485
1,0.9221207
1,0.7050976
1,0.9137038
1,0.7919206
1,0.9981935
1,0.9973262
0,0.34996474
1,0.97932684
1,0.9240553
0,0.31694937
0,0.50125873
0,0.35431302
0,0.43667936
