label,pred
1,0.9945785
1,0.6971824
0,0.0135095455
0,0.022861559
0,0.0039227623
1,0.9965293
0,0.28945467
1,0.42740047
0,0.00024483525
0,0.99496436
0,0.5137869
1,0.996507
0,0.002056982
0,0.8185404
1,0.9946774
1,0.99967146
0,0.023107965
0,0.010739178
1,0.6325317
0,0.0043590013
0,0.28365454
1,0.98667103
1,0.84846175
0,0.9817284
1,0.99286073
1,0.99978524
0,0.0038567334
1,0.19989526
1,0.44810796
1,0.62963456
0,0.0042198617
1,0.009755358
1,0.17597155
0,0.6961035
0,0.6763763
0,0.028960066
1,0.9636188
0,0.007473734
1,0.9962735
1,0.9354828
0,0.0042733746
0,0.003831306
1,0.9471033
1,0.9983718
0,0.6189404
0,0.004601139
1,0.9758898
0,0.0033277327
0,0.00024271972
1,0.99899
1,0.99998903
1,0.9559122
1,0.99967
1,0.99775887
0,0.95355517
1,0.87441397
1,0.9720534
0,0.0043450836
0,0.004859167
1,0.9968238
0,0.43899256
1,0.9986053
0,0.5625991
1,0.73042166
1,0.7837326
0,0.08964765
0,0.6041183
0,0.7989076
1,0.43304008
1,0.9996953
1,0.0075823776
0,0.0066983528
1,0.9088176
0,6.0197177e-05
1,0.06887978
0,0.89318997
0,0.48754367
1,0.9999318
0,0.0011456608
1,0.01815831
1,0.9820977
0,0.17316128
1,0.0008716705
0,0.01289628
0,0.10427882
1,0.9891193
0,0.0024768796
0,0.98279715
1,0.0027188046
1,0.87636536
1,0.99995816
1,0.99993956
0,0.9998172
1,3.534691e-05
1,0.055681035
1,0.9557439
0,0.011977463
0,0.19953147
1,0.96868324
0,0.020277737
0,0.64967597
0,0.020423517
0,0.7462284
0,0.04005602
1,0.9999449
0,0.9574091
0,0.70062584
0,0.9496302
1,0.683117
0,0.42018119
0,0.023758221
0,0.0023491147
1,0.37814465
0,0.033625465
0,0.033740286
0,0.9788786
0,0.008206774
0,0.0010918431
0,0.0028749288
1,0.05187236
0,0.41001672
0,0.97331333
0,0.00025709198
0,0.796679
0,0.13459536
0,0.652383
0,0.9452621
1,0.999858
0,0.17599878
0,0.984389
0,0.94498974
0,0.0024619976
0,0.016802134
0,0.051233403
0,0.88210493
0,0.9938548
1,0.9997254
1,0.96019816
1,0.9156994
0,0.0014425444
1,0.9989618
0,0.80857396
0,0.00028302128
1,0.97917944
